#Model files used:	unknown
#Model used:	TIEGCM
#Coordinates:	GDZ	sph
#utc_time	c1	c2	c3
#[s]	[R_E]	[R_E]	[R_E]
1679464836.361000	-19.719330	-50.174320	107.000000
1679464906.649000	-20.326233	-53.961296	107.000000
1679464949.465000	-20.908142	-56.646046	107.000000
1679465020.059000	-21.997467	-60.437843	107.000000
1679465080.935000	-23.522644	-64.124283	107.000000
1679465150.438000	-25.666260	-67.793617	107.000000
1679465193.984000	-27.825562	-70.436859	107.000000
1679465263.620000	-32.076538	-73.988335	107.000000
1679465309.921000	-37.014221	-76.630539	107.000000
1679465380.146000	-47.361755	-79.818253	106.999992
1679465423.015000	-59.480530	-81.732498	107.000000
1679465493.051000	-86.379730	-83.352005	107.000008
1679465580.458000	-128.847046	-82.270523	107.000000
1679465650.667000	-146.919434	-79.674782	107.000000
1679465693.696000	-154.635376	-77.419113	107.000000
1679465763.497000	-161.483887	-74.014671	107.000000
1679465809.935000	-164.929886	-71.278671	107.000000
1679465879.769000	-168.029984	-67.647057	107.000008
1679465923.329000	-169.666351	-64.972137	107.000000
1679465992.347000	-171.261200	-61.306351	107.000008
1679466053.333000	-172.450287	-57.591667	107.000000
1679466124.091000	-173.297867	-53.788074	107.000000
1679466167.047000	-173.754425	-51.089378	107.000008
1679466236.938000	-174.198914	-47.319183	107.000000
1679466283.486000	-174.459427	-44.401306	107.000000
1679466353.026000	-174.620895	-40.650284	107.000000
1679466397.313000	-174.697235	-37.867847	107.000000
1679466465.855000	-174.679474	-34.174797	107.000000
1679466527.396000	-174.592941	-30.407120	107.000000
1679466597.702000	-174.398468	-26.625179	107.000000
1679466641.476000	-174.216339	-23.884501	107.000000
1679466710.703000	-173.885300	-20.177944	107.000008
1679466757.851000	-173.580688	-17.271986	107.000000
1679466827.047000	-173.118530	-13.591941	107.000000
1679466870.872000	-172.736435	-10.888808	107.000000
1679466941.414000	-172.116699	-7.168773	107.000000
1679467001.745000	-171.433380	-3.575089	106.999992
1679467072.423000	-170.640808	0.103901	107.000000
1679467115.834000	-170.015442	2.713730	107.000000
1679467185.981000	-169.034927	6.304048	106.999992
1679467231.972000	-168.225433	9.012383	107.000000
1679467302.496000	-167.026932	12.553553	107.000000
1679467345.861000	-166.096420	15.056921	107.000000
1679467416.100000	-164.651978	18.492844	107.000000
1679467503.126000	-162.386566	23.128662	107.000000
1679467573.977000	-160.484772	26.419874	107.000000
1679467616.922000	-159.018539	28.695015	107.000000
1679467687.702000	-156.716080	31.821255	107.000000
1679467734.052000	-154.792969	34.116348	107.000000
1679467803.315000	-152.053864	36.950603	107.000000
1679467847.592000	-149.808716	38.964005	107.000000
1679467916.904000	-146.480270	41.518024	107.000000
1679467978.265000	-142.759369	43.890228	107.000000
1679468048.052000	-138.642502	46.036186	106.999992
1679468091.854000	-135.374756	47.434937	107.000000
1679468161.451000	-130.561493	49.084633	107.000000
1679468207.977000	-126.575027	50.148834	107.000000
1679468277.986000	-121.110291	51.181877	107.000000
1679468321.534000	-116.982437	51.710567	107.000000
1679468391.183000	-111.178131	52.068748	107.000000
1679468452.254000	-105.347870	52.011898	107.000000
1679468522.299000	-99.545624	51.545570	107.000000
1679468566.082000	-95.441772	50.968697	107.000000
1679468635.559000	-90.090881	49.820923	107.000000
1679468682.287000	-86.155579	48.702766	107.000000
1679468751.899000	-81.444916	46.971451	107.000000
1679468795.947000	-78.226166	45.519737	107.000000
1679468865.120000	-74.252380	43.329056	107.000000
1679468926.881000	-70.595886	40.883404	107.000000
1679468996.086000	-67.382263	38.286964	107.000000
1679469039.778000	-65.220703	36.272896	107.000000
1679469110.449000	-62.507629	33.331676	107.000000
1679469156.046000	-60.651733	31.053530	107.000008
1679469226.801000	-58.425751	27.900185	107.000000
1679469269.927000	-56.981201	25.604576	107.000000
1679469340.179000	-55.157104	22.309700	107.000000
1679469472.031000	-51.983978	15.316906	107.000000
1679469542.528000	-50.683167	11.817961	106.999992
1679469585.968000	-49.836945	9.273749	107.000008
1679469656.197000	-48.770630	5.712189	107.000000
1679469702.214000	-48.035126	2.976283	107.000000
1679469772.740000	-47.163391	-0.672126	107.000008
1679469815.980000	-46.596741	-3.293199	107.000000
1679469886.344000	-45.894531	-6.984347	107.000000
1679469946.668000	-45.295166	-10.593843	107.000000
1679470017.727000	-44.751129	-14.366093	107.000008
1679470061.286000	-44.417572	-17.062275	107.000000
1679470130.326000	-44.025299	-20.747797	107.000000
1679470177.206000	-43.784851	-23.659340	107.000000
